"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"CH_C1,CH_C2,CH_C4","3","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"CH_C3","1","4,7µF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"CH_C5","1","470nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"CH_J1","1","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"CH_J2","1","~","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"ch_J3","1","CH_PROG","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"CH_J7","1","ALARM_IN","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"CH_J8","1","CH_ALARM_OUT","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~"
"CH_J10","1","CH_12V","","","","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical","~"
"D1","1","1N4001","","","","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1","1","Barrel_Jack_Switch","","","","Connector_BarrelJack:BarrelJack_Horizontal","~"
"J2","1","Sensor","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~"
"J3","1","CAM_DI","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~"
"JP1,JP2,JP3","3","Jumper_2_Bridged","","","","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"Q1,Q2","2","BC817","","","","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/BC846_SER.pdf"
"R1,R8","2","100","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R3,R4,R5,R10","5","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"U1","1","CH32V003JxMx","","","","Package_SO:JEITA_SOIC-8_3.9x4.9mm_P1.27mm","https://www.wch-ic.com/products/CH32V003.html"
"U2","1","ESP-12E","","","","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf"
"U3","1","HT7333","","","","Package_TO_SOT_SMD:SOT-89-3","https://www.holtek.com/documents/10179/116711/HT75xx-1v250.pdf"
"U4","1","MIC5219-3.3YM5","","","","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/MIC5219-500mA-Peak-Output-LDO-Regulator-DS20006021A.pdf"
